"","Year","Block","Community","FertilizerTreatment","TotalSppNum","NCSppNum","ClonSppNum","TotalBMS","NCBMS","ClonBMS"
"72",2008,8,"mixed","CO",37,33,4,209.37333337,123.7466667,85.62666667
"73",2008,1,"mixed","LP",21,17,4,259.9,36.22,223.68
"74",2008,2,"mixed","LP",27,24,3,297.6933333,68.2,229.4933333
"75",2008,3,"mixed","LP",28,23,5,307.32666663,99.99333333,207.3333333
"76",2008,4,"mixed","LP",28,24,4,281.86666663,63.25333333,218.6133333
"77",2008,5,"mixed","LP",27,24,3,337.42000003,99.71333333,237.7066667
"78",2008,6,"mixed","LP",27,24,3,393.80000003,88.13333333,305.6666667
"79",2008,7,"mixed","LP",29,25,4,407.6666667,132.88,274.7866667
"80",2008,8,"mixed","LP",31,25,6,250.58000003,90.93333333,159.6466667
"81",2008,1,"mixed","SP",20,15,5,479.12,194.06,285.06
"82",2008,2,"mixed","SP",26,23,3,369.6,104.0933333,265.5066667
"83",2008,3,"mixed","SP",17,12,5,341.01333333,36.77333333,304.24
"84",2008,4,"mixed","SP",23,17,6,403.45333333,83.13333333,320.32
"85",2008,5,"mixed","SP",24,20,4,384.7733334,100.4266667,284.3466667
"86",2008,6,"mixed","SP",22,18,4,406.0933333,44.96,361.1333333
"87",2008,7,"mixed","SP",22,19,3,307.0666667,225.3066667,81.76
"88",2008,8,"mixed","SP",28,23,5,443.2466667,162.54,280.7066667
"89",2008,1,"mixed","UN",23,19,4,384.09999997,11.04666667,373.0533333
"90",2008,2,"mixed","UN",28,24,4,294.60666667,49.76666667,244.84
"91",2008,3,"mixed","UN",19,14,5,278.21999997,24.60666667,253.6133333
"92",2008,4,"mixed","UN",21,17,4,306.72000003,24.49333333,282.2266667
"93",2008,5,"mixed","UN",25,21,4,321.5733333,132.4,189.1733333
"94",2008,6,"mixed","UN",26,21,5,295.81333337,47.82666667,247.9866667
"95",2008,7,"mixed","UN",24,19,5,372.56666667,68.66666667,303.9
"96",2008,8,"mixed","UN",29,24,5,395.24,175.7733333,219.4666667
"97",2008,1,"non-clonal only","CO",29,29,0,124.52,124.52,0
"98",2008,2,"non-clonal only","CO",28,28,0,179.7,179.7,0
"99",2008,3,"non-clonal only","CO",27,27,0,188.4533333,188.4533333,0
"100",2008,4,"non-clonal only","CO",32,32,0,185.3,185.3,0
"101",2008,5,"non-clonal only","CO",34,34,0,302.6333333,302.6333333,0
"102",2008,6,"non-clonal only","CO",30,30,0,180.5133333,180.5133333,0
"103",2008,7,"non-clonal only","CO",28,28,0,226.8133333,226.8133333,0
"104",2008,8,"non-clonal only","CO",28,28,0,183.5466667,183.5466667,0
"105",2008,1,"non-clonal only","LP",27,27,0,174.36,174.36,0
"106",2008,2,"non-clonal only","LP",34,34,0,193.4733333,193.4733333,0
"107",2008,3,"non-clonal only","LP",27,27,0,150.6666667,150.6666667,0
"108",2008,4,"non-clonal only","LP",27,27,0,253.0733333,253.0733333,0
"109",2008,5,"non-clonal only","LP",34,34,0,343.4533333,343.4533333,0
"110",2008,6,"non-clonal only","LP",29,29,0,299.6066667,299.6066667,0
"111",2008,7,"non-clonal only","LP",22,22,0,317.5066667,317.5066667,0
"112",2008,8,"non-clonal only","LP",31,31,0,296.9666667,296.9666667,0
"113",2008,1,"non-clonal only","SP",21,21,0,373.3066667,373.3066667,0
"114",2008,2,"non-clonal only","SP",27,27,0,304.9466667,304.9466667,0
"115",2008,3,"non-clonal only","SP",23,23,0,224.6,224.6,0
"116",2008,4,"non-clonal only","SP",31,31,0,177.32,177.32,0
"117",2008,5,"non-clonal only","SP",21,21,0,273.4533333,273.4533333,0
"118",2008,6,"non-clonal only","SP",24,24,0,150.0133333,150.0133333,0
"119",2008,7,"non-clonal only","SP",16,16,0,398.5733333,398.5733333,0
"120",2008,8,"non-clonal only","SP",29,29,0,322.4,322.4,0
"121",2008,1,"non-clonal only","UN",25,25,0,270.2933333,270.2933333,0
"122",2008,2,"non-clonal only","UN",26,26,0,153.7333333,153.7333333,0
"123",2008,3,"non-clonal only","UN",25,25,0,185.64,185.64,0
"124",2008,4,"non-clonal only","UN",25,25,0,149.8,149.8,0
"125",2008,5,"non-clonal only","UN",23,23,0,313.5266667,313.5266667,0
"126",2008,6,"non-clonal only","UN",25,25,0,259.5466667,259.5466667,0
"127",2008,7,"non-clonal only","UN",18,18,0,286.9933333,286.9933333,0
"128",2008,8,"non-clonal only","UN",26,26,0,307.7933333,307.7933333,0
